place,title,time,pay,date
서울 강남구,(주)호텔신라 VANTT 라운지 식음 판매 모집 (단기계약직),09:00~18:00,"시급 8,720",2시간전
제주 전체,[제주신라호텔]시급9580/조리보조 아르바이트 모집(숙식제공),00:00~24:00,"시급 9,580",2시간전
서울 서초구,(주)호텔신라 삼성레포츠센터 라이프가드 모집(단기계약직),09:00~18:00,"월급 1,846,000",2시간전
제주 전체,[제주신라호텔] 이벤트 단기 아르바이트 모집,09:00~18:00,"시급 9,580",2시간전
